text,id,from_user,iso_language_code
"Marathon bomb suspect eludes police, hunt shuts Boston down WATERTOWN, Massachusetts (Reuters) - Black Hawk helicopte http://t.co/a4EIcyHo7r",325342218942554112,mimoonxoxo,en
"#WorldNews Marathon bomb suspect eludes police, hunt shuts Boston down http://t.co/Ffzz44gVSe #TeamFollowBack",325350010961141760,My_WorldNews,en
RT @BostonGlobe: BREAKING NEWS: Boston Marathon terror bombing suspect has been arrested.,325409910588317696,eminabektas,en
RT @BostonGlobe: BREAKING NEWS: Boston Marathon terror bombing suspect has been arrested.,325409910642835456,CawhlTweets,en
RT @BostonGlobe: BREAKING NEWS: Boston Marathon terror bombing suspect has been arrested.,325409910714138625,notVeronica,en
RT @BostonGlobe: BREAKING NEWS: Boston Marathon terror bombing suspect has been arrested.,325409910827401217,jtd1003,en
RT @BostonGlobe: BREAKING NEWS: Boston Marathon terror bombing suspect has been arrested.,325409910869327872,pantha82,en
RT @BostonGlobe: BREAKING NEWS: Boston Marathon terror bombing suspect has been arrested.,325409910886117377,_brittanyduffy,en
RT @BostonGlobe: BREAKING NEWS: Boston Marathon terror bombing suspect has been arrested.,325409927193567232,randerson24,en
RT @BostonDotCom: BREAKING NEWS: Boston Marathon terror bombing suspect has been arrested.,325409992121389058,MarcoInKona,en
RT @BostonGlobe: BREAKING NEWS: Boston Marathon terror bombing suspect has been arrested.,325409996290527232,Ronnie0724,en
RT @BostonGlobe: BREAKING NEWS: Boston Marathon terror bombing suspect has been arrested.,325409996529602560,ericabilodeau,en
RT @BostonGlobe: BREAKING NEWS: Boston Marathon terror bombing suspect has been arrested.,325409996726743041,Gram70,en
RT @BostonGlobe: BREAKING NEWS: Boston Marathon terror bombing suspect has been arrested.,325409996764479488,kerry_206,en
RT @BostonGlobe: BREAKING NEWS: Boston Marathon terror bombing suspect has been arrested.,325409996965810176,Matt_Wright_24,en
